MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
6,-16822.93,-31360.58,-816,1123,1,0,Kaftra Mail Box
6,37373.95,-16372.13,-3915.265,1123,1,-26000,Kaftra Mail Box
6,-12242.26,3244.763,-587.709,1123,1,-38536,Kaftra Mail Box
6,-16349.6,-31370.86,-848.037,1127,1,0,Quest board
6,36958.82,-16677.64,-4000.709,1127,1,-26000,Quest board
6,-12746.03,3551.381,-619.241,1127,1,-38540,Quest board
6,389.641,-43416.65,-951.602,1,1,0,Unknown
6,-30142.73,-27476.57,447.463,2,1,17000,Weed
6,-31179.21,-28954.44,509.038,2,1,17000,Weed
6,-30610.79,-25653.73,673.572,2,1,1000,Weed
6,-31709.96,-26942.05,680.4,2,1,17000,Weed
6,-32743.6,-25474.61,905.614,2,1,1000,Weed
6,-26951.85,-25210.47,385.196,31,1,17000,Pumkins
6,-28949.46,-25778.89,483.578,31,1,17000,Pumkins
6,-28349.05,-23665.2,694.227,31,1,17000,Pumkins
6,-38191.59,-31639.25,857.376,31,1,0,Pumkins
6,-39947.19,-35752.1,883.017,31,1,0,Pumkins
6,-41455.96,-33991.13,964.385,31,1,8000,Pumkins
6,-42664.67,-34186,1010.539,31,1,17000,Pumkins
6,-43066.14,-32255.49,1062.802,31,1,0,Pumkins
6,-28315.16,-25123.55,496.245,32,1,1000,Pumkins
6,-38699.8,-33262.71,766.758,32,1,0,Pumkins
6,-39124.04,-33991.13,780.872,32,1,3000,Pumkins
6,-39719.05,-36994.1,890.371,32,1,0,Pumkins
6,-42282.93,-32963.95,1013.197,32,1,-7000,Pumkins
